ModbusData,ModbusFunctionCode,UMASFunctionCode,UMASPayload
00:24:0a:02:01:1e:00:01:00:02:01:46:00:01:00:02:01:3a:00:01:00:02:01:07:00:01:00:02:00:0e:00:01:00:02:01:76:00:01:00:02:01:78:00:01:00:02:01:80:00:01:00:02:01:81:00:01:00:02:01:00:00:01:00,0x90,0x0002,0x00010002010700010002000E000100020176000100020178000100020180000100020181000100020100000100
00:fe:0a:00:00:00:00:00:00:00:00:00:00:00:00:00:00:82:d0:00:00:00:00:00:ff:df:00:00:02:00:00:00:80:80:00:00:80:80:00:00:00:00,0x90,0x0000,0xD00000000000FFDF00000200000080800000808000000000
00:24:0a:02:00:32:00:01:00:02:01:31:00:01:00:02:01:32:00:01:00:02:01:33:00:01:00:02:01:34:00:01:00:02:01:35:00:01:00:02:01:36:00:01:00:02:01:37:00:01:00:02:01:38:00:01:00:02:01:39:00:01:00,0x90,0x0002,0x000100020133000100020134000100020135000100020136000100020137000100020138000100020139000100
00:fe:0a:00:00:00:00:00:03:00:00:00:27:00:00:00:18:11:00:00:18:03:00:00:05:20:00:00:12:00:00:00:18:11:00:00:18:03:00:00:05:20,0x90,0x0000,0x000018030000052000001200000018110000180300000520
00:24:0a:02:01:0e:00:01:00:02:01:0f:00:01:00:02:01:10:00:01:00:02:01:21:00:01:00:02:01:22:00:01:00:02:01:23:00:01:00:02:01:24:00:01:00:02:01:25:00:01:00:02:01:26:00:01:00:02:01:3e:00:01:00,0x90,0x0002,0x00010002012100010002012200010002012300010002012400010002012500010002012600010002013E000100
00:fe:0a:00:00:01:00:00:00:06:01:00:00:01:00:00:00:97:7a:00:00:1e:89:00:00:00:ff:00:00:ff:ff:00:00:03:7a:00:00:1e:89:00:00:00:00,0x90,0x0000,0x7A00001E89000000FF0000FFFF0000037A00001E8900000000
00:24:07:02:01:1f:00:01:00:02:01:47:00:01:00:02:01:20:00:01:00:02:01:48:00:01:00:02:01:62:00:01:00:02:01:63:00:01:00:02:01:64:00:01:00,0x90,0x0002,0x000100020148000100020162000100020163000100020164000100
00:fe:07:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:11:00,0x90,0x0000,0x00000000000000000000001100
00:24:0a:02:01:1e:00:01:00:02:01:46:00:01:00:02:01:3a:00:01:00:02:01:07:00:01:00:02:00:0e:00:01:00:02:01:76:00:01:00:02:01:78:00:01:00:02:01:80:00:01:00:02:01:81:00:01:00:02:01:00:00:01:00,0x90,0x0002,0x00010002010700010002000E000100020176000100020178000100020180000100020181000100020100000100
00:fe:0a:00:00:00:00:00:00:00:00:00:00:00:00:00:00:82:d0:00:00:00:00:00:ff:df:00:00:02:00:00:00:80:80:00:00:80:80:00:00:00:00,0x90,0x0000,0xD00000000000FFDF00000200000080800000808000000000
00:24:0a:02:00:32:00:01:00:02:01:31:00:01:00:02:01:32:00:01:00:02:01:33:00:01:00:02:01:34:00:01:00:02:01:35:00:01:00:02:01:36:00:01:00:02:01:37:00:01:00:02:01:38:00:01:00:02:01:39:00:01:00,0x90,0x0002,0x000100020133000100020134000100020135000100020136000100020137000100020138000100020139000100
00:fe:0a:00:00:00:00:00:03:00:00:00:28:00:00:00:18:11:00:00:18:03:00:00:05:20:00:00:12:00:00:00:18:11:00:00:18:03:00:00:05:20,0x90,0x0000,0x000018030000052000001200000018110000180300000520
00:24:0a:02:01:0e:00:01:00:02:01:0f:00:01:00:02:01:10:00:01:00:02:01:21:00:01:00:02:01:22:00:01:00:02:01:23:00:01:00:02:01:24:00:01:00:02:01:25:00:01:00:02:01:26:00:01:00:02:01:3e:00:01:00,0x90,0x0002,0x00010002012100010002012200010002012300010002012400010002012500010002012600010002013E000100
00:fe:0a:00:00:01:00:00:00:06:01:00:00:01:00:00:00:97:7a:00:00:1e:89:00:00:00:ff:00:00:ff:ff:00:00:03:7a:00:00:1e:89:00:00:00:00,0x90,0x0000,0x7A00001E89000000FF0000FFFF0000037A00001E8900000000
00:24:07:02:01:1f:00:01:00:02:01:47:00:01:00:02:01:20:00:01:00:02:01:48:00:01:00:02:01:62:00:01:00:02:01:63:00:01:00:02:01:64:00:01:00,0x90,0x0002,0x000100020148000100020162000100020163000100020164000100
00:fe:07:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:11:00,0x90,0x0000,0x00000000000000000000001100
00:fe:02:0a:80:03:02:0e:02:be:02:0e:02:be:cc:3c:ff:ff:03:03:00:14:00:00,0x90,0xCC3C,0x030300140000
00:fe:02:0a:80:03:02:0e:02:be:02:0e:02:be:cc:3c:ff:ff:03:03:00:14:00:00,0x90,0xCC3C,0x030300140000
00:24:0a:02:01:1e:00:01:00:02:01:46:00:01:00:02:01:3a:00:01:00:02:01:07:00:01:00:02:00:0e:00:01:00:02:01:76:00:01:00:02:01:78:00:01:00:02:01:80:00:01:00:02:01:81:00:01:00:02:01:00:00:01:00,0x90,0x0002,0x00010002010700010002000E000100020176000100020178000100020180000100020181000100020100000100
00:fe:0a:00:00:00:00:00:00:00:00:00:00:00:00:00:00:82:d0:00:00:00:00:00:ff:df:00:00:02:00:00:00:80:80:00:00:80:80:00:00:00:00,0x90,0x0000,0xD00000000000FFDF00000200000080800000808000000000
00:24:0a:02:00:32:00:01:00:02:01:31:00:01:00:02:01:32:00:01:00:02:01:33:00:01:00:02:01:34:00:01:00:02:01:35:00:01:00:02:01:36:00:01:00:02:01:37:00:01:00:02:01:38:00:01:00:02:01:39:00:01:00,0x90,0x0002,0x000100020133000100020134000100020135000100020136000100020137000100020138000100020139000100
00:fe:0a:00:00:00:00:00:03:00:00:00:28:00:00:00:18:11:00:00:18:03:00:00:05:20:00:00:12:00:00:00:18:11:00:00:18:03:00:00:05:20,0x90,0x0000,0x000018030000052000001200000018110000180300000520
00:24:0a:02:01:0e:00:01:00:02:01:0f:00:01:00:02:01:10:00:01:00:02:01:21:00:01:00:02:01:22:00:01:00:02:01:23:00:01:00:02:01:24:00:01:00:02:01:25:00:01:00:02:01:26:00:01:00:02:01:3e:00:01:00,0x90,0x0002,0x00010002012100010002012200010002012300010002012400010002012500010002012600010002013E000100
00:fe:0a:00:00:01:00:00:00:06:01:00:00:01:00:00:00:97:7a:00:00:1e:89:00:00:00:ff:00:00:ff:ff:00:00:03:7a:00:00:1e:89:00:00:00:00,0x90,0x0000,0x7A00001E89000000FF0000FFFF0000037A00001E8900000000
00:24:07:02:01:1f:00:01:00:02:01:47:00:01:00:02:01:20:00:01:00:02:01:48:00:01:00:02:01:62:00:01:00:02:01:63:00:01:00:02:01:64:00:01:00,0x90,0x0002,0x000100020148000100020162000100020163000100020164000100
00:fe:07:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:11:00,0x90,0x0000,0x00000000000000000000001100
00:24:0a:02:01:1e:00:01:00:02:01:46:00:01:00:02:01:3a:00:01:00:02:01:07:00:01:00:02:00:0e:00:01:00:02:01:76:00:01:00:02:01:78:00:01:00:02:01:80:00:01:00:02:01:81:00:01:00:02:01:00:00:01:00,0x90,0x0002,0x00010002010700010002000E000100020176000100020178000100020180000100020181000100020100000100
00:fe:0a:00:00:00:00:00:00:00:00:00:00:00:00:00:00:82:d0:00:00:00:00:00:ff:df:00:00:02:00:00:00:80:80:00:00:80:80:00:00:00:00,0x90,0x0000,0xD00000000000FFDF00000200000080800000808000000000
00:24:0a:02:00:32:00:01:00:02:01:31:00:01:00:02:01:32:00:01:00:02:01:33:00:01:00:02:01:34:00:01:00:02:01:35:00:01:00:02:01:36:00:01:00:02:01:37:00:01:00:02:01:38:00:01:00:02:01:39:00:01:00,0x90,0x0002,0x000100020133000100020134000100020135000100020136000100020137000100020138000100020139000100
00:fe:0a:00:00:00:00:00:03:00:00:00:29:00:00:00:18:11:00:00:18:03:00:00:05:20:00:00:12:00:00:00:18:11:00:00:18:03:00:00:05:20,0x90,0x0000,0x000018030000052000001200000018110000180300000520
00:24:0a:02:01:0e:00:01:00:02:01:0f:00:01:00:02:01:10:00:01:00:02:01:21:00:01:00:02:01:22:00:01:00:02:01:23:00:01:00:02:01:24:00:01:00:02:01:25:00:01:00:02:01:26:00:01:00:02:01:3e:00:01:00,0x90,0x0002,0x00010002012100010002012200010002012300010002012400010002012500010002012600010002013E000100
00:fe:0a:00:00:01:00:00:00:06:01:00:00:01:00:00:00:97:7a:00:00:1e:89:00:00:00:ff:00:00:ff:ff:00:00:03:7a:00:00:1e:89:00:00:00:00,0x90,0x0000,0x7A00001E89000000FF0000FFFF0000037A00001E8900000000
00:24:07:02:01:1f:00:01:00:02:01:47:00:01:00:02:01:20:00:01:00:02:01:48:00:01:00:02:01:62:00:01:00:02:01:63:00:01:00:02:01:64:00:01:00,0x90,0x0002,0x000100020148000100020162000100020163000100020164000100
00:fe:07:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:11:00,0x90,0x0000,0x00000000000000000000001100
00:24:0a:02:01:1e:00:01:00:02:01:46:00:01:00:02:01:3a:00:01:00:02:01:07:00:01:00:02:00:0e:00:01:00:02:01:76:00:01:00:02:01:78:00:01:00:02:01:80:00:01:00:02:01:81:00:01:00:02:01:00:00:01:00,0x90,0x0002,0x00010002010700010002000E000100020176000100020178000100020180000100020181000100020100000100
00:fe:0a:00:00:00:00:00:00:00:00:00:00:00:00:00:00:82:d0:00:00:00:00:00:ff:df:00:00:02:00:00:00:80:80:00:00:80:80:00:00:00:00,0x90,0x0000,0xD00000000000FFDF00000200000080800000808000000000
00:24:0a:02:00:32:00:01:00:02:01:31:00:01:00:02:01:32:00:01:00:02:01:33:00:01:00:02:01:34:00:01:00:02:01:35:00:01:00:02:01:36:00:01:00:02:01:37:00:01:00:02:01:38:00:01:00:02:01:39:00:01:00,0x90,0x0002,0x000100020133000100020134000100020135000100020136000100020137000100020138000100020139000100
00:fe:0a:00:00:00:00:00:03:00:00:00:29:00:00:00:18:11:00:00:18:03:00:00:05:20:00:00:12:00:00:00:18:11:00:00:18:03:00:00:05:20,0x90,0x0000,0x000018030000052000001200000018110000180300000520
00:24:0a:02:01:0e:00:01:00:02:01:0f:00:01:00:02:01:10:00:01:00:02:01:21:00:01:00:02:01:22:00:01:00:02:01:23:00:01:00:02:01:24:00:01:00:02:01:25:00:01:00:02:01:26:00:01:00:02:01:3e:00:01:00,0x90,0x0002,0x00010002012100010002012200010002012300010002012400010002012500010002012600010002013E000100
00:fe:0a:00:00:01:00:00:00:06:01:00:00:01:00:00:00:97:7a:00:00:1e:89:00:00:00:ff:00:00:ff:ff:00:00:03:7a:00:00:1e:89:00:00:00:00,0x90,0x0000,0x7A00001E89000000FF0000FFFF0000037A00001E8900000000
00:24:07:02:01:1f:00:01:00:02:01:47:00:01:00:02:01:20:00:01:00:02:01:48:00:01:00:02:01:62:00:01:00:02:01:63:00:01:00:02:01:64:00:01:00,0x90,0x0002,0x000100020148000100020162000100020163000100020164000100
00:fe:07:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:11:00,0x90,0x0000,0x00000000000000000000001100
